SMI_ID,SMILES,SCAFFOLD_SMILES,SCAFFOLD_ID
SMI_164D98AFA0,O.O=c1cc(-c2ccc(O)cc2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,O=c1cc(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12,SCF_BDA26CE8D6
SMI_85F013C83A,O.O=c1cc(-c2ccc(O)c(O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,O=c1cc(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12,SCF_BDA26CE8D6
SMI_C1DEA63697,O.O=C1CC(c2ccc(O)cc2)Oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c21,O=C1CC(c2ccccc2)Oc2cc(OC3CCCCO3)ccc21,SCF_1D8F96319A
SMI_09545D6DB5,O.O=C1CC(c2ccc(O)c(O)c2)Oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c21,O=C1CC(c2ccccc2)Oc2cc(OC3CCCCO3)ccc21,SCF_1D8F96319A
SMI_AF518CA64F,O.OCC1OC(OC2C(CO)OC(OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(O)C(O)C5O)C(O)C4O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,C1CCC(OC2CCC(OC3CCC(OC4CCC(OC5CCCOC5)OC4)OC3)OC2)OC1,SCF_F351E7EB2A
SMI_3878A6B7D7,O.O=[N+]([O-])c1ccc(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)cc1,c1ccc(OC2CCC(OC3CCCCO3)CO2)cc1,SCF_4A963CC471
SMI_755F2D778B,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1.O,c1ccc(COC2CCCC(COC3CCCCO3)O2)cc1,SCF_F4BC86A170
SMI_24980D7BA4,N#CC(OC1OC(CO)C(O)C(O)C1O)c1ccccc1.O,c1ccc(COC2CCCCO2)cc1,SCF_4ED0FFA92D
SMI_DB0F9A950E,N#CC(OC1OC(CO)C(O)C(O)C1O)c1ccc(O)cc1.O,c1ccc(COC2CCCCO2)cc1,SCF_4ED0FFA92D
SMI_1D692E8E2D,CC(CCC1(O)OC2CC3C4CC(OC5OC(C)C(O)C(OC6OC(C)C(O)C(O)C6O)C5O)C5CC(O)CCC5(C)C4CCC3(C)C2C1C)COC1OC(CO)C(O)C(O)C1O.O,C(CCC1CC2C(CC3C2CCC2C4CCCCC4C(OC4CC(OC5CCCCO5)CCO4)CC32)O1)COC1CCCCO1,SCF_92BBB7FC6E
